GCOMPID,OPERATOR,NAME,MEAS_TECH,LAST_INSP,NEXT_INSP,FREQ_INSP_MO,TEST_DUR,CALIB_DUR,SAMP_DUR,LOW_FLOW,BATT_PCT,ADDRESS,CITY,STATE,ZIP,STATUS,NUM_UNITS,CERT_HP,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE
GCOMP1764,CAMPUS ENERGY PARTNERS OPERATION,VISTA MIDSTREAM SOLUTIONS LTD (TABER D),Technician-25,10/15/2023,10/15/2024,6,55,,,,100,RANGE ROAD 180; 16-13-013-18-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,50.0885,-112.328079
GCOMP1765,CAMPUS ENERGY PARTNERS OPERATION,VISTA MIDSTREAM SOLUTIONS LTD (VULCAN),Technician-01,11/15/2023,11/15/2024,12,55,,,,100,NEAR 522 HIGHWAY (1.4 KM N); 01-31-013-20-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,VULCAN,NOT APPLICABLE,CAN,50.1239,-112.716511
GCOMP1650,CAMPUS ENERGY PARTNERS OPERATIONS INC.,VISTA MIDSTREAM SOLUTIONS LTD,Technician-02,12/15/2023,12/15/2024,6,55,,,,100,10-35-015-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,49.984628,-112.386707
GCOMP1512,CANADIAN NATURAL RESOURCES LTD.,ANADARKO CANADA CORPORATION (TABER A),Technician-03,11/20/2022,11/15/2023,12,55,20,,,100,RANGE ROAD 145; 13-17-014-14-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,TABER,NOT APPLICABLE,CAN,50.175392,-111.886904
GCOMP1513,CANADIAN NATURAL RESOURCES LTD.,ANADARKO CANADA CORPORATION (TABER B),Technician-04,11/22/2022,11/17/2023,12,55,,,,100,RANGE ROAD 141; 16-23-012-14-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,TABER,NOT APPLICABLE,CAN,50.015581,-111.805806
GCOMP1533,CANADIAN NATURAL RESOURCES LTD.,BURLINGTON RESOURCES CANADA (HUNTER) (WILLOW CREEK NO. 26 A),Technician-05,11/24/2022,11/19/2023,12,55,,,,100,NEAR RANGE ROAD 274 (1.0 KM W); 10-28-012-27-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,50.028362,-113.624339
GCOMP1534,CANADIAN NATURAL RESOURCES LTD.,BURLINGTON RESOURCES CANADA (HUNTER) (WILLOW CREEK NO. 26 B),Technician-06,11/26/2022,11/21/2023,12,55,,,,100,12-19-011-25-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,49.92576,-113.41034
GCOMP1541,CANADIAN NATURAL RESOURCES LTD.,CANADIAN HUNTER EXPLORATION LTD. (WILLOW CREEK NO. 26 B),Technician-07,5/27/2023,11/23/2023,6,55,,,,100,2 HIGHWAY; 13-31-011-26-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,49.958108,-113.544974
GCOMP1544,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (CYPRESS A),Technician-08,11/16/2022,11/11/2023,12,55,,,,100,NEAR 524 HIGHWAY (0.6 KM N); 10-21-013-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.101991,-111.307883
GCOMP1545,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (CYPRESS B),Technician-09,5/18/2023,11/14/2023,6,55,,,,100,TOWNSHIP ROAD 144; 16-21-014-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.19212,-111.30234
GCOMP1546,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (FORTY MILE NO. 8),Technician-10,11/20/2022,11/15/2023,12,55,,,,100,RANGE ROAD 100; 08-24-006-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,ABANDONED,-999,-999,FORTY MILE NO. 8,NOT APPLICABLE,CAN,49.485068,-111.218388
GCOMP1547,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (NEWELL NO. 4 A),Technician-11,5/5/2023,11/1/2023,6,55,20,,,100,RANGE ROAD 114; 05-04-016-11-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NEWELL NO. 4,NOT APPLICABLE,CAN,50.315719,-111.469824
GCOMP1548,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (NEWELL NO. 4 B),Technician-12,5/19/2023,11/15/2023,6,55,,,,100,RANGE ROAD 113; 09-28-014-11-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NEWELL NO. 4,NOT APPLICABLE,CAN,50.202036,-111.437954
GCOMP1549,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (NEWELL NO. 4 C),Technician-13,6/2/2023,11/29/2023,6,55,,,,100,NEAR RANGE ROAD 161 (0.6 KM E); 11-08-002-11-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NEWELL NO. 4,NOT APPLICABLE,CAN,50.305375,-112.100668
GCOMP1550,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (NEWELL NO. 4 D),Technician-14,12/6/2022,12/1/2023,12,55,,,,100,132079 535 HIGHWAY; 16-34-016-13-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NEWELL NO. 4,NOT APPLICABLE,CAN,50.393677,-111.700926
GCOMP1551,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (TABER A),Technician-15,5/19/2023,11/15/2023,6,55,,,,100,10-01-013-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,TABER,NOT APPLICABLE,CAN,50.057789,-112.058642
GCOMP1552,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (TABER B),Technician-16,5/21/2023,11/17/2023,6,55,,,,100,11-23-014-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,TABER,NOT APPLICABLE,CAN,50.186298,-112.086585
GCOMP1553,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (VULCAN A),Technician-17,11/24/2022,11/19/2023,12,55,,,,100,NEAR RANGE ROAD 231 (0.6 KM W); 14-13-016-23-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,VULCAN,NOT APPLICABLE,CAN,50.351641,-113.042827
GCOMP1554,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (VULCAN B),Technician-18,5/25/2023,11/21/2023,6,55,,,,100,RANGE ROAD 225; 16-19-016-22-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,VULCAN,NOT APPLICABLE,CAN,50.365416,-113.01063
GCOMP1555,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (WARNER NO. 5 A),Technician-19,11/28/2022,11/23/2023,12,55,,,,100,NEAR TOWNSHIP ROAD 24 (0.6 KM ESE); 02-27-002-12-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.145061,-111.529866
GCOMP1556,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD.(WARNER NO. 5 B),Technician-20,5/15/2023,11/11/2023,6,55,20,40,,100,TOWNSHIP ROAD 24; 13-19-002-11-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.14313,-111.470534
GCOMP1557,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (WILLOW CREEK NO. 26 A),Technician-21,11/19/2022,11/14/2023,12,55,,40,,100,NEAR RANGE ROAD 272 (0.6 KMW); 06-23-013-27-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,50.096221,-113.588348
GCOMP1558,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD.(WILLOW CREEK NO. 26 B),Technician-22,2/18/2023,11/15/2023,9,55,,40,,100,07-20-013-27-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,WILLOW CREEK NO. 26,NOT APPLICABLE,CAN,50.095596,-113.649618
GCOMP1559,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD.(STATION A),Technician-23,5/5/2023,11/1/2023,6,55,,40,,100,05-22-002-11-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,49.129303,-111.409058
GCOMP1560,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD. (STATION B),Technician-24,5/19/2023,11/15/2023,6,55,,40,Y,100,11-19-014-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,49.299069,-112.754889
GCOMP1655,CANADIAN NATURAL RESOURCES LTD.,ENERPLUS RESOURCES CORPORATION,Technician-25,12/4/2022,11/29/2023,12,55,,40,Y,100,4017 TOWNSHIP ROAD 132; 02-13-013-04-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.077588,-110.418935
GCOMP1656,CANADIAN NATURAL RESOURCES LTD.,EOG RESOURCES CANADA INC (FORTY MILE NO. 8),Technician-01,3/6/2023,12/1/2023,9,55,,40,,100,TOWNSHIP ROAD 60; 13-34-005-12-W4,NOT AVAILABLE,AB,NOT AVAILABLE,ABANDONED,-999,-999,FORTY MILE NO. 8,NOT APPLICABLE,CAN,49.435143,-111.551591
GCOMP1657,CANADIAN NATURAL RESOURCES LTD.,EOG RESOURCES CANADA INC,Technician-02,11/20/2022,11/15/2023,12,55,,40,,25,15-33-012-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,50.047005,-111.309241
GCOMP1669,CANADIAN NATURAL RESOURCES LTD.,HUSKY OIL OPERATIONS LTD. (WARNER NO. 5),Technician-03,5/21/2023,11/17/2023,6,55,,40,Y,33,TOWNSHIP ROAD 73; 02-20-007-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,ABANDONED,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.569147,-112.13578
GCOMP1694,CANADIAN NATURAL RESOURCES LTD.,NORTHSTAR ENERGY CORPORATION,Technician-04,5/23/2023,11/19/2023,6,55,,40,,49,04-13-009-04-W5,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,RANCHLAND NO. 66,NOT APPLICABLE,CAN,49.729956,-114.427457
GCOMP1732,CANADIAN NATURAL RESOURCES LTD.,REAL,Technician-05,5/25/2023,11/21/2023,6,55,20,40,,51,NEAR RANGE ROAD 170 (1.4 KM W); 01-31-015-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,TABER,NOT APPLICABLE,CAN,50.29929,-112.186212
GCOMP1760,CANADIAN NATURAL RESOURCES LTD.,CANADIAN NATURAL RESOURCES LTD.,Technician-06,5/27/2023,11/23/2023,6,55,,40,,66,11-10-012-18-W4,NOT AVAILABLE,AB,NOT AVAILABLE,ABANDONED,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,49.110932,-111.442262
GCOMP1588,CANADIAN OIL & GAS INTERNATIONAL INC.,DRUMLIN ENERGY CORP. (TABER),Technician-07,11/16/2022,11/11/2023,12,55,20,40,,67,NEAR RANGE ROAD 163 (0.6 KM SW); 05-15-009-16-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,TABER,NOT APPLICABLE,CAN,49.732182,-112.100672
GCOMP1589,CANADIAN OIL & GAS INTERNATIONAL INC.,DRUMLIN ENERGY CORP. (WARNER NO. 5),Technician-08,11/19/2022,11/14/2023,12,55,,40,,92,17330 TOWNSHIP ROAD 55; 04-33-005-17-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,WARNER NO. 5,NOT APPLICABLE,CAN,49.424763,-112.24355
GCOMP1578,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS A),Technician-09,11/20/2022,11/15/2023,12,55,20,,,93,NEAR TOWNSHIP ROAD 142A (1.6 KM WNW); 01-18-014-05-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.165147,-110.66637
GCOMP1579,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS B),Technician-10,5/5/2023,11/1/2023,6,55,,,,94,RANGE ROAD 62; 08-22-014-06-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.186183,-110.73375
GCOMP1580,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS C),Technician-11,11/20/2022,11/15/2023,12,55,,40,,95,14334 BOX SPRINGS ROAD; 12-24-014-06-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.186493,-110.704631
GCOMP1581,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS D),Technician-12,6/2/2023,11/29/2023,6,55,20,,,96,TOWNSHIP ROAD 144; 12-29-014-05-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.202479,-110.66171
GCOMP1582,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS E),Technician-13,3/6/2023,12/1/2023,9,55,,,,97,RANGE ROAD 205; 13-07-016-01-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.337275,-110.140017
GCOMP1583,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS F),Technician-14,12/12/2022,12/7/2023,12,55,,,Y,98,41 HIGHWAY; 14-14-014-03-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.1775,-110.317582
GCOMP1584,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (CYPRESS G),Technician-15,6/18/2023,12/15/2023,6,55,,,,99,TOWNSHIP ROAD 144; 15-19-014-02-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.193137,-110.265617
GCOMP1585,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD. (STATION A),Technician-16,1/5/2023,12/31/2023,12,55,20,40,,80,01-15-015-05-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,50.254873,-110.603533
GCOMP1586,CANLIN RESOURCES PARTNERSHIP,DIRECT ENERGY MARKETING LTD.(STATION B),Technician-17,5/19/2023,11/15/2023,6,55,,,,75,10-31-013-02-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,NOT AVAILABLE,NOT APPLICABLE,CAN,50.1313,-110.261218
GCOMP1668,CANLIN RESOURCES PARTNERSHIP,HUSKY OIL OPERATIONS LTD. (RANCHLAND NO. 66),Technician-18,11/22/2022,11/17/2023,12,55,,40,,70,RANGE ROAD 41A; 05-11-014-04-W5,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,RANCHLAND NO. 66,NOT APPLICABLE,CAN,50.156477,-114.454103
GCOMP1702,CANLIN RESOURCES PARTNERSHIP,PETRO-CANADA (CYPRESS A),Technician-19,11/24/2022,11/19/2023,12,55,,,,60,NEAR RANGE ROAD 33 (1.4 KM W); 01-10-016-03-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.328151,-110.326519
GCOMP1703,CANLIN RESOURCES PARTNERSHIP,PETRO-CANADA (CYPRESS B),Technician-20,11/26/2022,11/21/2023,12,55,,,,50,TOWNSHIP ROAD 154; 02-27-015-04-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.28148,-110.469743
GCOMP1704,CANLIN RESOURCES PARTNERSHIP,PETRO-CANADA (CYPRESS C),Technician-21,11/28/2022,11/23/2023,12,55,20,,,25,TOWNSHIP ROAD 162; 03-15-016-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.339839,-111.301412
GCOMP1705,CANLIN RESOURCES PARTNERSHIP,PETRO-CANADA (CYPRESS D),Technician-22,5/15/2023,11/11/2023,6,55,,40,,100,RANGE ROAD 104; 04-21-015-10-W4,NOT AVAILABLE,AB,NOT AVAILABLE,SUSPENDED,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.269706,-111.332702
GCOMP1706,CANLIN RESOURCES PARTNERSHIP,PETRO-CANADA (CYPRESS E),Technician-23,11/19/2022,11/14/2023,12,55,,,,100,NEAR RANGE ROAD 35 (1.0 KM W); 07-20-015-03-W4,NOT AVAILABLE,AB,NOT AVAILABLE,IN SERVICE,-999,-999,CYPRESS,NOT APPLICABLE,CAN,50.272713,-110.377899
