OBJECTID,API,WellName,ZoneStatus,YearDrilled,DateSpud,CompletedDate,ProducingL,ProposedGI,FirstProdD,WellboreSt,SpudReleas,Operator,FieldName,FormationN,Elevation,TD,MD,HasIP,BEG_Core,BEG_Logs,HasCoreRep,HasLogs,HasMudLog,HasResisti,HasPorosit,HasSonic,HasDipMete,HasGammaRa,HasGR_SP,HasDirecti,HasDrillin,HasComplet,HasW1,HasW2,HasHz,IPBBLOil,IPMCFGas,IPBBLWater,PerfTop,PerfBottom,Tops,WebDetailL,CoreReport,LogsLink,Directiona,DrillingLi,Completion,W1Link,DateEffect,W2Link,Cumulative,Cumulati_1,County,BlockNbr,SectionNbr,Direction,Latitude,Longitude
11,4200300027,University-Andrews - 1,Plugged and Abandoned,1947,5/20/1947,6/17/1947,,,00000000,DA,,AMERADA PETR. CORP.,WILDCAT,08,2960,4918,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300027,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00027/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300027/1824,5/6/1947,,,,Andrews,07,41,1980  FNL & 1980 FWL,32.340209960937500,-102.220077514648000
12,4200300029,Emma San Andres Unit - 503,Plugged and Abandoned,1940,5/18/1940,8/7/1940,,,00000000,PAO,,ARCO OIL & GAS CO.,EMMA,,3156,4325,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,9,0,0,4152,4281,,http://utlands.utsystem.edu/API/4200300029,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300029/1829,5/10/1940,,,,Andrews,10,36,990  FSL & 440 FEL,32.133689880371000,-102.623840332031000
13,4200300029,Emma San Andres Unit - 503,Plugged and Abandoned,1940,5/18/1940,8/7/1940,,,00000000,PAO,,ARCO OIL & GAS CO.,EMMA,,3156,4325,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,9,0,0,4285,4325,,http://utlands.utsystem.edu/API/4200300029,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300029/1829,5/10/1940,,,,Andrews,10,36,990  FSL & 440 FEL,32.133689880371000,-102.623840332031000
14,4200300035,PLYMOUTH UNIVERSITY - 1,Plugged and Abandoned,1959,4/16/1959,6/7/1959,,,6/7/1959,DA,,JONES BILL OIL COMPANY,FULLERTON CLEARFORK UPPER,,3282,,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300035,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00035/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300035/714,4/9/1959,,,,Andrews,13,01,550  FNL & 550 FWL,32.434238433837800,-102.742645263671000
15,4200300040,"UNIVERSITY ""10"" - 3",Plugged and Abandoned,1963,8/20/1963,8/22/1963,,,8/22/1963,OIL,,CONTINENTAL OIL COMPANY,FULLERTON CLEARFORK UPPER,,3268,7035,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,115,72,15,,,,http://utlands.utsystem.edu/API/4200300040,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00040/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/722,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/1849,4/16/1984,,49156,52922,Andrews,13,10,660  FSL & 660 FEL,32.404529571533200,-102.754623413085000
16,4200300040,"UNIVERSITY ""10"" - 3",Producing,1984,3/1/1984,4/13/1984,,,4/13/1984,OIL,,STEPHENS & JOHNSON OPERATING CO.,FULLERTON,SAN ANDRES,3268,7035,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,18,3,53,4416,4517,,http://utlands.utsystem.edu/API/4200300040,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00040/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/722,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/1849,4/16/1984,,49156,52922,Andrews,13,10,660  FSL & 660 FEL,32.404529571533200,-102.754623413085000
17,4200300040,"UNIVERSITY ""10"" - 3",Downhole Commingle,1959,12/10/1959,12/30/1959,,,1/9/1960,OIL,,STEPHENS & JOHNSON OPERATING CO.,FULLERTON,,3268,7035,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,80,0,0,6952,7020,,http://utlands.utsystem.edu/API/4200300040,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00040/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/722,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300040/1849,4/16/1984,,49156,52922,Andrews,13,10,660  FSL & 660 FEL,32.404529571533200,-102.754623413085000
18,4200300041,"University ""D"" - 1",Plugged and Abandoned,1942,6/30/1942,2/10/1943,,,00000000,DA,,ARCO OIL & GAS CO.,"GOLDSMITH, N.","SAN ANDRES, CON.",3263,165,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300041,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300041/1958,6/26/1942,,,,Andrews,11,25,1993  FSL & 2051 FWL,32.124111175537100,-102.739570617675000
19,4200300042,"University ""E"" - 1",Plugged and Abandoned,1942,6/30/1942,2/10/1943,,,00000000,DA,,ARCO OIL & GAS CO.,"GOLDSMITH, N.","SAN ANDRES, CON.",3264,180,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300042,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300042/1961,6/26/1942,,,,Andrews,11,36,1996  FSL & 2031 FWL,32.110031127929600,-102.735076904296000
20,4200300043,WC UNIT L (23)5 -,Plugged and Abandoned,1960,5/30/1960,7/2/1960,,,00000000,PAOI,,ATLANTIC RICHFIELD CO.,UNIVERSITY BLOCK 9,WOLFCAMP,3180,8600,,N,Y,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,Y,N,,,,,,,http://utlands.utsystem.edu/API/4200300043,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00043/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300043/742,6/1/1960,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300043/1968,,,Andrews,09,11,2680  FSL & 2510 FEL,32.212417602539000,-102.567672729492000
21,4200300044,UNIVERSITY BLOCK 9 WOLFCAMP UNIT - 4E,Producing,1955,7/25/1955,9/16/1955,,,9/16/1955,OIL,,XTO ENERGY INC.,UNIVERSITY BLOCK 9,WOLFCAMP,3178,9015,,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,267,0,0,8406,8600,,http://utlands.utsystem.edu/API/4200300044,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00044/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300044/1971,7/20/1955,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300044/1973,10413,25178,Andrews,09,14,660  FNL & 660 FWL,32.202037811279200,-102.571403503417000
22,4200300046,UNIVERSITY OF TEXAS - V-2,Plugged and Abandoned,1956,8/28/1956,10/7/1956,,,10/7/1956,PAI,,MOBIL PRODUCING TX. & N.M. INC.,MCFARLAND,QUEEN,3102,4875,,Y,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,97,0,7,4788,4805,,http://utlands.utsystem.edu/API/4200300046,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00046/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300046/752,7/17/1956,,,,Andrews,04,04,990  FNL & 1682 FWL,32.479167938232400,-102.479354858398000
23,4200300047,University of Texas - 18-1,Plugged and Abandoned,1956,9/23/1956,11/17/1956,,,00000000,DA,,AMERICAN TRADING & PROD. CORP.,FUHRMAN-MASCHO,,3203,4608,,N,N,N,N,Y,N,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,,,,,,,http://utlands.utsystem.edu/API/4200300047,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00047/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300047/2080,9/23/1956,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300047/2081,,,Andrews,09,18,660  FNL & 1980 FWL,32.187728881835900,-102.633155822753000
24,4200300048,University - 1,Plugged and Abandoned,1944,12/1/1944,1/23/1945,,,00000000,DA,,ANDERSON-PRICHARD,WILDCAT,08,3097,5085,,N,N,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300048,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00048/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300048/2083,11/2/1944,,,,Andrews,01,30,330  FSL & 330 FEL,32.170131683349600,-102.458236694335000
25,4200300049,University - 1-34-1,Plugged and Abandoned,1959,3/30/1959,7/18/1959,,,00000000,PAO,,ATLANTIC RICHFIELD CO.,"ANDREWS, SOUTH",WOLFCAMP,3107,11255,,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,230,0,5,8776,9714,,http://utlands.utsystem.edu/API/4200300049,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00049/,,,,,00000000,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300049/365801,,,Andrews,01,34,660  FNL & 660 FWL,32.152992248535100,-102.520271301269000
26,4200300049,"UNIVERSITY ""1-34"" - 1",Plugged and Abandoned,1959,3/30/1959,7/18/1959,,,7/18/1959,PAO,,ATLANTIC RICHFIELD CO.,"ANDREWS, SOUTH",WOLFCAMP,3107,11255,,Y,N,N,N,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,230,0,5,8776,9714,,http://utlands.utsystem.edu/API/4200300049,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00049/,,,,,00000000,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300049/365801,,,Andrews,01,34,660  FNL & 660 FWL,32.152992248535100,-102.520271301269000
27,4200300119,University - 12-1,Plugged and Abandoned,1953,11/10/1953,11/19/1953,,,00000000,DA,,ANDERSON-PRICHARD,WILDCAT,08,,245,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300119,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300119/2102,10/30/1953,,,,Andrews,08,12,467  FNL & 467 FEL,32.405155181884700,-102.284332275390000
28,4200300120,University - 1,Plugged and Abandoned,1938,12/3/1938,1/5/1939,,,00000000,DA,,ANDERSON-PRICHARD,WILDCAT,08,3210,4467,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300120,,,,,,,00000000,,,,Andrews,14,13,330  FSL & 330 FEL,32.345645904541000,-102.680557250976000
29,4200300121,"University ""36"" - 1",Plugged and Abandoned,1953,12/26/1953,5/25/1954,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,EMMA,DEVONIAN,3168,12614,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,523,0,0,12448,12498,,http://utlands.utsystem.edu/API/4200300121,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00121/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300121/2107,12/3/1973,,,,Andrews,10,36,660  FSL & 990 FWL,32.129859924316400,-102.635971069335000
30,4200300121,"University ""36"" - 1",Plugged and Abandoned,1953,12/26/1953,5/25/1954,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,EMMA,DEVONIAN,3168,12614,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,523,0,0,10470,10600,,http://utlands.utsystem.edu/API/4200300121,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00121/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300121/2107,12/3/1973,,,,Andrews,10,36,660  FSL & 990 FWL,32.129859924316400,-102.635971069335000
31,4200300121,"University ""36"" - 1",Plugged and Abandoned,1974,1/30/1974,2/7/1974,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,EMMA,FUSSELMAN,3168,12475,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,81,0,21,11377,11392,,http://utlands.utsystem.edu/API/4200300121,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00121/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300121/2107,12/3/1973,,,,Andrews,10,36,660  FSL & 990 FWL,32.129859924316400,-102.635971069335000
32,4200300122,"University ""C"" - 1",Plugged and Abandoned,1948,12/2/1948,12/21/1948,,,00000000,DA,,"ANDERSON-RICHARDS CO., INC.",FUHRMAN-MASCHO,,3185,4568,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300122,,,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300122/789,11/22/1948,,,,Andrews,09,03,2067  FSL & 440 FWL,32.219669342041000,-102.595512390136000
33,4200300123,University - D-1,Plugged and Abandoned,1949,6/7/1949,6/27/1949,,,00000000,DA,,ANDERSON-PRICHARD,WILDCAT,08,2948,5055,,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300123,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00123/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300123/2635,5/24/1949,,,,Andrews,07,38,1980  FSL & 660 FWL,32.349777221679600,-102.227539062500000
34,4200300124,"University ""36"" - 3",Plugged and Abandoned,1962,3/5/1962,4/7/1962,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,EMMA,DEVONIAN,3165,12435,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,338,0,0,10440,0,,http://utlands.utsystem.edu/API/4200300124,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00124/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300124/2641,5/11/1954,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300124/2646,,,Andrews,10,36,660  FSL & 2051 FWL,32.130641937255800,-102.632682800292000
35,4200300124,"University ""36"" - 3",Plugged and Abandoned,1954,5/24/1954,10/8/1954,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,EMMA,ELLENBURGER,3165,12435,,Y,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,379,0,0,12260,0,,http://utlands.utsystem.edu/API/4200300124,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00124/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300124/2641,5/11/1954,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300124/2646,,,Andrews,10,36,660  FSL & 2051 FWL,32.130641937255800,-102.632682800292000
36,4200300125,"University ""F"" - 1",Plugged and Abandoned,1953,3/30/1953,10/14/1953,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,HUTEX,DEVONIAN,2982,13117,,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,197,0,0,12402,0,,http://utlands.utsystem.edu/API/4200300125,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00125/,,,,,00000000,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300125/2653,,,Andrews,06,49,2310  FNL & 660 FWL,32.429092407226500,-102.288162231445000
37,4200300125,"University ""F"" - 1",Plugged and Abandoned,1972,11/7/1972,7/3/1973,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,"HUTEX, N.",WOLFCAMP,2982,13117,,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,Y,N,,,,,,,http://utlands.utsystem.edu/API/4200300125,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00125/,,,,,00000000,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300125/2653,,,Andrews,06,49,2310  FNL & 660 FWL,32.429092407226500,-102.288162231445000
38,4200300126,"UNIV ""G"" - 1",Plugged and Abandoned,1953,5/12/1953,9/15/1953,,,9/15/1953,PAO,,AMERICAN EXPLORATION COMPANY,HUTEX,DEVONIAN,2996,13529,,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,520,0,0,12322,0,,http://utlands.utsystem.edu/API/4200300126,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00126/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300126/3108,4/30/1953,,,,Andrews,08,01,1980  FNL & 660 FEL,32.415016174316400,-102.288116455078000
39,4200300127,"University ""H"" - 1",Plugged and Abandoned,1953,6/8/1953,10/1/1953,,,00000000,PAO,,UNION TEXAS PETROLEUM CORP.,HUTEX,DEVONIAN,2990,12548,,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,Y,Y,N,227,0,0,12419,0,,http://utlands.utsystem.edu/API/4200300127,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00127/,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300127/3121,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300127/3125,5/21/1953,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300127/3126,,,Andrews,05,37,2310  FNL & 660 FEL,32.428142547607400,-102.292297363281000
40,4200300128,"UNIVERSITY ""I"" - 1",Producing,1953,7/4/1953,10/30/1953,,,10/30/1953,OIL,,DIAMONDBACK E&P LLC,PRICHARD,ELLENBURGER,2988,13487,,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,N,N,703,31,0,13475,13487,,http://utlands.utsystem.edu/API/4200300128,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00128/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300128/3130,6/16/1953,,71156,16119,Andrews,07,07,1980  FSL & 660 FWL,32.412456512451100,-102.282875061035000
41,4200300129,UNIV J 1 -,Plugged and Abandoned,1953,9/17/1953,12/30/1953,,,12/30/1953,PAO,,AMERICAN EXPLORATION COMPANY,HUTEX,DEVONIAN,2998,12535,,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,379,0,0,12344,0,,http://utlands.utsystem.edu/API/4200300129,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00129/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300129/3265,8/28/1953,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300129/3269,,,Andrews,06,49,660  FSL & 660 FWL,32.422966003417900,-102.286216735839000
42,4200300131,"University ""36"" - 2",Plugged and Abandoned,1954,5/28/1954,12/17/1969,,,00000000,DA,,UNION TEXAS PETROLEUM CORP.,EMMA,GLORIETA,3171,5440,,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,,,,,,,http://utlands.utsystem.edu/API/4200300131,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00131/,,,,http://www.utlands.utsystem.edu/WellLibrary/WellDocument/4200300131/838,5/11/1954,,,,Andrews,10,36,467  FSL & 467 FWL,32.128959655761700,-102.637443542480000
43,4200300132,"UNIV ""G"" - 2",Plugged and Abandoned,1959,3/19/1959,7/1/1959,,,7/1/1959,PAO,,AMERICAN EXPLORATION COMPANY,HUTEX,DEAN,2993,12559,,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,31,0,0,9595,0,,http://utlands.utsystem.edu/API/4200300132,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00132/,,,,,00000000,,,,Andrews,08,01,660  FSL & 1980 FEL,32.407066345214800,-102.290016174316000
44,4200300132,"UNIV ""G"" - 2",Plugged and Abandoned,1954,5/26/1954,11/15/1954,,,11/15/1954,PAO,,UNION TEXAS PETROLEUM,HUTEX,DEVONIAN,2993,12559,,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,31,0,0,9595,0,,http://utlands.utsystem.edu/API/4200300132,,ftp://publicftp.utlands.utsystem.edu/ScannedLogs/003_Andrews/00132/,,,,,00000000,,,,Andrews,08,01,660  FSL & 1980 FEL,32.407066345214800,-102.290016174316000
